"Location","String View"
"00c161a0","dbg_abilityID"
"00befdb4","dbg_balAddOnSpeed"
"00befdc8","dbg_balAddOnSpeedMagic"
"00befde0","dbg_balAddOnSpeedMax"
"00befe00","dbg_balAddOnSpeedMaxGroup"
"00c16910","dbg_balloon"
"00befd9c","dbg_balStartProgress"
"00bcfd1c","dbg_blackbox_log"
"00c14a14","dbg_clear_history_buffer"
"00bf88a4","dbg_collisionInfo"
"00bee240","dbg_courbetteFlag"
"00bee270","dbg_courbetteType"
"00bee2cc","dbg_courbetteUI"
"00c3b0fc","dbg_crtBreak"
"00c2cb0c","dbg_customMap"
"00c4c1c0","dbg_debugTools"
"00be8a34","dbg_decalSphereSize"
"00bf47fc","dbg_display_achievement"
"00c350c4","dbg_display_aitester"
"00bf8de4","dbg_display_trigger"
"00bea42c","dbg_displayCollPhyx"
"00c46df4","dbg_displayDebug"
"00bec418","dbg_displayItem"
"00bf4a14","dbg_displayItemBbox"
"00bfa27c","dbg_displayMagic"
"00c462a8","dbg_displayPeriod"
"00c3b130","dbg_displayPhysx"
"00c4626c","dbg_displaySkip"
"00bf8b50","dbg_displaySS"
"00bcffa8","dbg_drsBonus"
"00bcff6c","dbg_drsTime"
"00bcffd0","dbg_drsTurnRatio"
"00bee820","dbg_easyturn"
"00bfb6a0","dbg_emoticonFrameTime"
"00c462bc","dbg_focusOut"
"00bf4a28","dbg_ForcedGetItem"
"00bf4570","dbg_forceGoalIn"
"00bf459c","dbg_forceGoalInTime"
"00beccf8","dbg_forceHorseState"
"00be5e14","dbg_forceMacroCam"
"00bf1aa4","dbg_forceRiderState"
"00c3b19c","dbg_frameDrop"
"00bee7bc","dbg_glide_2xRot"
"00c49238","dbg_glowIntensity"
"00c2e3e0","dbg_handicapSpeed"
"00bd0100","dbg_ice_delayTime"
"00bd019c","dbg_ice_HeadAngle"
"00bd01c4","dbg_ice_SlidingAngle"
"00bd01f0","dbg_ice_SlidingDashVelocity"
"00bd0150","dbg_ice_SpurVelocity"
"00bd0178","dbg_ice_SteeringAngle"
"00bd0130","dbg_ice_Velocity"
"00c11d5c","dbg_lsfontsize"
"00c491d0","dbg_maxDotskybloom"
"00c4921c","dbg_minDotSkybloom"
"00c19348","dbg_mouseOpt"
"00bf2b6c","dbg_optGroundCheck"
"00c4ccac","dbg_outlineUV"
"00c11de4","dbg_p2p_server_log"
"00c11e08","dbg_p2p_server_log_delay"
"00bf2b80","dbg_pickDist"
"00befe20","dbg_precedingGroupDelta"
"00befe40","dbg_precedingGroupX"
"00c46380","dbg_profilemin"
"00c3b15c","dbg_quickStart"
"00bf8584","dbg_rawShopList"
"00becc90","dbg_recordPath"
"00c4c11c","dbg_refactoring"
"00c2cbf4","dbg_scale"
"00beb7cc","dbg_shopModelMaxRotateSpeed"
"00beb7ac","dbg_shopModelRotateConst"
"00c30b64","dbg_showDebugMonsterUI"
"00bf24e4","dbg_showGate"
"00be7a54","dbg_showJumpIndicator"
"00bea6ec","dbg_showShadowObb"
"00c4c144","dbg_sortOpaqueMesh"
"00c4c16c","dbg_sortTransparentMesh"
"00c4c19c","dbg_sortWorldMesh"
"00bf8bb0","dbg_ss_effectRatioDelta"
"00bf8b7c","dbg_ss_effectRatioMin"
"00c492e4","dbg_sunQuery"
"00befd88","dbg_testBalance"
"00c2caf0","dbg_testMap"
"00c37404","dbg_testPathFind"
"00bdf4fc","dbg_velocityBoostRatio"
"00c46e74","dbg_weather_angle"
"00c46e88","dbg_weather_blendtime"
"00c46e5c","dbg_weather_maxvel"
"00c46ea0","dbg_weather_rotspeed"
"00c108e8","dbg_webimg_face_fov"
"00c1086c","dbg_webimg_face_pos_female"
"00c10898","dbg_webimg_face_pos_male"
"00c108c4","dbg_webimg_face_target"
"00c10858","dbg_webimg_fov"
"00c1081c","dbg_webimg_pos"
"00c10838","dbg_webimg_target"
