"Location","String View"
"00c3aeb4","sys_colorBits"
"00c3b208","sys_configVersion"
"00c4b270","sys_conInputHistory1"
"00c4b29c","sys_conInputHistory2"
"00c4b2b4","sys_conInputHistory3"
"00c3b068","sys_conPosX"
"00c3b08c","sys_conPosY"
"00c3b0d4","sys_conSizeH"
"00c3b0ac","sys_conSizeW"
"00c179d8","sys_ContentsBlocked"
"00c3aed0","sys_depthBits"
"00c4ba38","sys_fileSCP_CP"
"00c4ba1c","sys_fileSCP_EP"
"00c385e8","sys_load_client"
"00c3ae4c","sys_screenHorizontal"
"00c3ae24","sys_screenOSHeight"
"00c3ae00","sys_screenOSWidth"
"00c3ada8","sys_screenRasterFlag"
"00c3ae7c","sys_screenRasterFormat"
"00c3add4","sys_screenRefreshRate"
"00c3aeec","sys_sizeRWRESArena"
