"Location","String View"
"00c35f1c","ui_auto_targeting_delay"
"00c2ec2c","ui_base_scale"
"00c2ebf0","ui_base_x"
"00c2ec0c","ui_base_x_align"
"00c2ec00","ui_base_y"
"00c2ec1c","ui_base_y_align"
"00c052b4","ui_cam%d"
"00c0eeb4","ui_disablemsg_gameroom"
"00c10ad8","ui_egg_appear_delay"
"00c1dd20","ui_fade_main"
"00c2f830","ui_festival_ingame_from_bottom"
"00c2f7bc","ui_festival_result_delay"
"00c2f7f4","ui_festival_result_fail_delay"
"00c2f87c","ui_festival_result_show_add_delay"
"00c2f78c","ui_festival_start_delay"
"00c2f8c4","ui_festival_winner_insert_delay"
"00c2f908","ui_festival_winner_rolling_delay"
"00c2f8e4","ui_festival_winner_rotation_time"
"00c2d694","ui_finish_screen_filter_alpha"
"00c2dfc4","ui_game_event_fade_time"
"00c2f170","ui_gauge3_scale"
"00c2f128","ui_gauge3_x"
"00c2f148","ui_gauge3_x_align"
"00c2f13c","ui_gauge3_y"
"00c2f15c","ui_gauge3_y_align"
"00c2f4f0","ui_guild_testvalue"
"00bedfb4","ui_intime"
"00bedfe4","ui_invalue"
"00beeec8","ui_jump_hint_adjust_x"
"00beeee0","ui_jump_hint_adjust_y"
"00be7fc8","ui_jumpObstacle"
"00c2db24","ui_lapscnt_scale"
"00c2dad4","ui_lapsCnt_x"
"00c2dafc","ui_lapsCnt_x_align"
"00c2dae8","ui_lapsCnt_y"
"00c2db10","ui_lapsCnt_y_align"
"00c2e95c","ui_magic_ai"
"00c2e8f4","ui_magic_target_off_alpha"
"00c2e92c","ui_magic_target_old_lockoff"
"00c2e8d4","ui_magic_targeting_attach_pixel"
"00c2e898","ui_magic_targeting_move_speed"
"00c2dc50","ui_maptoggle"
"00c30c0c","ui_multi_focus_hide_time"
"00bedfcc","ui_outtime"
"00c3005c","ui_player_damage_sliding_speed"
"00c2ec3c","ui_player_x"
"00c2ec54","ui_player_x_align"
"00c2ec48","ui_player_y"
"00c2ec68","ui_player_y_align"
"00c2ebe4","ui_preset"
"00c30aec","ui_releaseTargetDelayTime"
"00bedf98","ui_scale"
"00c3afdc","ui_serverDataLoadTime"
"00c312f0","ui_showCursorSpot"
"00c308a8","ui_target_damage_hide_fade_time"
"00c30bc0","ui_targeting_gap_x"
"00c30bf0","ui_targeting_gap_y"
"00c30b94","ui_targeting_move_speed"
"00c30b2c","ui_targetingFocusDelayTime"
"00c2f4c4","ui_tempgauge_testvalue"
"00c2e9c0","ui_wideratio"
